"sex" "age" "prov" "n" "E"
"866" "M" 57 "X5" 1 "1232.5"
"867" "M" 58 "X5" 2 "1315.5"
"868" "M" 59 "X5" 6 "1391.5"
"869" "M" 60 "X5" 5 "1383"
"870" "M" 61 "X5" 7 "1332.5"
"871" "M" 62 "X5" 6 "1297"
"872" "M" 63 "X5" 10 "1308"
"873" "M" 64 "X5" 14 "1315.5"
"874" "M" 65 "X5" 9 "1299.5"
"875" "M" 66 "X5" 11 "1271"
"876" "M" 67 "X5" 13 "1277"
"877" "M" 68 "X5" 14 "1310.5"
"878" "M" 69 "X5" 14 "1302.5"
"879" "M" 70 "X5" 10 "1255"
"880" "M" 71 "X5" 12 "1179.5"
"881" "M" 72 "X5" 24 "1103"
"882" "M" 73 "X5" 15 "1066.5"
"883" "M" 74 "X5" 15 "1026.5"
"884" "M" 75 "X5" 19 "982"
"885" "M" 76 "X5" 19 "958"
"886" "M" 77 "X5" 10 "876"
"887" "M" 78 "X5" 24 "819.5"
"888" "M" 79 "X5" 26 "633"
"889" "M" 80 "X5" 5 "388.5"
"890" "M" 81 "X5" 8 "332"
"891" "M" 82 "X5" 14 "363.5"
"892" "M" 83 "X5" 14 "426.5"
"893" "M" 84 "X5" 22 "453.5"
"894" "M" 85 "X5" 11 "457"
"895" "M" 86 "X5" 17 "438"
"896" "M" 87 "X5" 6 "342.5"
"897" "M" 88 "X5" 9 "254"
"898" "M" 89 "X5" 5 "215.5"
"899" "M" 90 "X5" 7 "163.5"
"900" "M" 91 "X5" 8 "123"
"901" "M" 92 "X5" 3 "91.5"
"902" "M" 93 "X5" 2 "66.5"
"903" "M" 94 "X5" 2 "38"
"904" "M" 95 "X5" 0 "28"
"905" "M" 96 "X5" 2 "19.5"
"906" "M" 97 "X5" 0 "16.5"
"907" "M" 98 "X5" 0 "7"
"908" "M" 99 "X5" 0 "5"
"909" "M" 100 "X5" 0 "12.5"
"1011" "M" 0 "X6" 0 "1431.5"
"1012" "M" 1 "X6" 0 "1423"
"1013" "M" 2 "X6" 0 "1434"
"1014" "M" 3 "X6" 0 "1414.5"
"1015" "M" 4 "X6" 0 "1431"
"1016" "M" 5 "X6" 0 "1452.5"
"1017" "M" 6 "X6" 0 "1479"
"1018" "M" 7 "X6" 1 "1485"
"1019" "M" 8 "X6" 0 "1514"
"1020" "M" 9 "X6" 0 "1511.5"
"1021" "M" 10 "X6" 0 "1449.5"
"1022" "M" 11 "X6" 1 "1430.5"
"1023" "M" 12 "X6" 0 "1444.5"
"1024" "M" 13 "X6" 0 "1498"
"1025" "M" 14 "X6" 0 "1495"
"1026" "M" 15 "X6" 0 "1557.5"
"1027" "M" 16 "X6" 0 "1661.5"
"1028" "M" 17 "X6" 0 "1694"
"1029" "M" 18 "X6" 0 "1713"
"1030" "M" 19 "X6" 0 "1755.5"
"1031" "M" 20 "X6" 0 "1899"
"1032" "M" 21 "X6" 0 "2137"
"1033" "M" 22 "X6" 0 "2336.5"
"1034" "M" 23 "X6" 0 "2476.5"
"1035" "M" 24 "X6" 0 "2578.5"
"1036" "M" 25 "X6" 0 "2669.5"
"1037" "M" 26 "X6" 1 "2786.5"
"1038" "M" 27 "X6" 1 "2914"
"1039" "M" 28 "X6" 1 "3010"
"1040" "M" 29 "X6" 0 "3089"
"1041" "M" 30 "X6" 0 "3129"
"1042" "M" 31 "X6" 0 "3170"
"1043" "M" 32 "X6" 1 "3310"
"1044" "M" 33 "X6" 0 "3365"
"1045" "M" 34 "X6" 0 "3418.5"
"1046" "M" 35 "X6" 0 "3343"
"1047" "M" 36 "X6" 0 "3171.5"
"1048" "M" 37 "X6" 1 "3103.5"
"1049" "M" 38 "X6" 0 "3073.5"
"1050" "M" 39 "X6" 1 "2990"
"1051" "M" 40 "X6" 1 "2909.5"
"1052" "M" 41 "X6" 0 "2961"
"1053" "M" 42 "X6" 2 "2959.5"
"1054" "M" 43 "X6" 1 "2884"
"1055" "M" 44 "X6" 1 "2846.5"
"1056" "M" 45 "X6" 1 "2766.5"
"1057" "M" 46 "X6" 2 "2771"
"1058" "M" 47 "X6" 2 "2796"
"1059" "M" 48 "X6" 7 "2816"
"1060" "M" 49 "X6" 3 "2891.5"
"1061" "M" 50 "X6" 4 "3015"
"1062" "M" 51 "X6" 3 "3080.5"
"1063" "M" 52 "X6" 4 "3101"
"1064" "M" 53 "X6" 2 "2733.5"
"1065" "M" 54 "X6" 8 "2469"
"1066" "M" 55 "X6" 5 "2613.5"
"1067" "M" 56 "X6" 12 "2652"
"1068" "M" 57 "X6" 16 "2738.5"
"1069" "M" 58 "X6" 10 "2919"
"1070" "M" 59 "X6" 22 "3071"
"1071" "M" 60 "X6" 13 "3099.5"
"1072" "M" 61 "X6" 17 "2934"
"1073" "M" 62 "X6" 21 "2773"
"1074" "M" 63 "X6" 20 "2768"
"1075" "M" 64 "X6" 23 "2734.5"
"1076" "M" 65 "X6" 25 "2675"
"1077" "M" 66 "X6" 30 "2635"
"1078" "M" 67 "X6" 19 "2622"
"1079" "M" 68 "X6" 31 "2654.5"
"1080" "M" 69 "X6" 42 "2634"
"1081" "M" 70 "X6" 21 "2499"
"1082" "M" 71 "X6" 24 "2460.5"
"1083" "M" 72 "X6" 30 "2349"
"1084" "M" 73 "X6" 46 "2266"
"1085" "M" 74 "X6" 37 "2157"
"1086" "M" 75 "X6" 34 "2029.5"
"1087" "M" 76 "X6" 36 "1938.5"
"1088" "M" 77 "X6" 39 "1822"
"1089" "M" 78 "X6" 31 "1715.5"
"1090" "M" 79 "X6" 30 "1309"
"1091" "M" 80 "X6" 22 "829"
"1092" "M" 81 "X6" 19 "740"
"1093" "M" 82 "X6" 19 "809.5"
"1094" "M" 83 "X6" 26 "966"
"1095" "M" 84 "X6" 34 "1006"
"1096" "M" 85 "X6" 27 "915.5"
"1097" "M" 86 "X6" 24 "823"
"1098" "M" 87 "X6" 22 "687.5"
"1099" "M" 88 "X6" 16 "554"
"1100" "M" 89 "X6" 14 "431"
"1101" "M" 90 "X6" 16 "347.5"
"1102" "M" 91 "X6" 8 "261.5"
"1103" "M" 92 "X6" 5 "197"
"1104" "M" 93 "X6" 7 "152"
"1105" "M" 94 "X6" 11 "114"
"1106" "M" 95 "X6" 4 "59.5"
"1107" "M" 96 "X6" 2 "34"
"1108" "M" 97 "X6" 0 "19.5"
"1109" "M" 98 "X6" 0 "16"
"1110" "M" 99 "X6" 0 "6"
"1111" "M" 100 "X6" 0 "12"
"1213" "M" 0 "X7" 0 "562.5"
"1214" "M" 1 "X7" 0 "532"
"1215" "M" 2 "X7" 0 "535.5"
"1216" "M" 3 "X7" 0 "539"
"1217" "M" 4 "X7" 0 "519.5"
"1218" "M" 5 "X7" 0 "494"
"1219" "M" 6 "X7" 0 "506.5"
"1220" "M" 7 "X7" 0 "520.5"
"1221" "M" 8 "X7" 0 "493.5"
"1222" "M" 9 "X7" 1 "498.5"
"1223" "M" 10 "X7" 0 "528"
"1224" "M" 11 "X7" 0 "512"
"1225" "M" 12 "X7" 0 "479.5"
"1226" "M" 13 "X7" 0 "484"
"1227" "M" 14 "X7" 0 "504.5"
"1228" "M" 15 "X7" 0 "525"
"1229" "M" 16 "X7" 0 "531"
"1230" "M" 17 "X7" 0 "493"
"1231" "M" 18 "X7" 0 "533"
"1232" "M" 19 "X7" 0 "570"
"1233" "M" 20 "X7" 0 "622.5"
"1234" "M" 21 "X7" 0 "682"
"1235" "M" 22 "X7" 0 "688"
"1236" "M" 23 "X7" 0 "772.5"
"1237" "M" 24 "X7" 1 "849"
"1238" "M" 25 "X7" 0 "883.5"
"1239" "M" 26 "X7" 0 "907"
"1240" "M" 27 "X7" 0 "947.5"
"1241" "M" 28 "X7" 0 "1010"
"1242" "M" 29 "X7" 0 "1042"
"1243" "M" 30 "X7" 0 "1054"
